page_index,fact_check_id,fact_check_explanation_title,fact_check_explanation_summary,fact_check_image_url_thumbnail,fact_check_date,fact_check_page_url
196,dial-55-no-police-dispatch,The police won’t always be dispatched if you dial 55 during a 999 call,"If you can’t speak during a 999 call, dialling 55 can alert the operator that you need help, but it won’t guarantee that the police will come.",https://www.fullfact.org/media/_versions/cb74nr_homepage_article.jpg,2020-01-08,https://www.fullfact.org/online/dial-55-no-police-dispatch/
196,french-strikes-coverage,Pension strikes in France have been widely reported in the UK,Pension strikes in France have been widely reported. It’s not the case that the British media is ignoring the story.,https://www.fullfact.org/media/_versions/2aet216-edit_homepage_article.jpg,2020-01-08,https://www.fullfact.org/online/french-strikes-coverage/
196,rail-fares-inflation,Rail fares are increasing in price faster than other goods and services,Rail fare increases have been called both above and below inflation. They’re probably getting more expensive than most other things.,https://www.fullfact.org/media/_versions/railway_train_homepage_article.jpg,2020-01-02,https://www.fullfact.org/economy/rail-fares-inflation/
196,ads,The facts behind Labour and Conservative Facebook ads in this election,"If there’s one issue that dominated discussion of campaign techniques in the run up to the election, it was online adverts. We look at how the Conservative and Labour campaigns …",https://www.fullfact.org/media/_versions/2aaxwa0b_homepage_article.jpg,2019-12-11,https://www.fullfact.org/election-2019/ads/
196,terror-attack-sentencing-usman-khan,Usman Khan and sentencing terror offences,"After the London Bridge attack, there's been a debate over how people in the UK are sentenced for terror offences, in particular Usman Khan, the attacker.",https://www.fullfact.org/media/_versions/courts_of_justice_homepage_article.jpg,2019-12-11,https://www.fullfact.org/election-2019/terror-attack-sentencing-usman-khan/
196,wales-railway-investment,How much rail investment goes to Wales?,Wales makes up about 11% of the rail network in England and Wales.,https://www.fullfact.org/media/_versions/wales_railway_homepage_article.jpg,2019-12-11,https://www.fullfact.org/election-2019/wales-railway-investment/
196,ask-fullfact-trade-deals,How many trade deals will we lose access to post Brexit if we leave the Customs Union?,"This article is part of our Ask Full Fact series on the 2019 general election, answering your questions about the election, from claims the main parties are making to what …",https://www.fullfact.org/media/_versions/trade_homepage_article.jpg,2019-12-11,https://www.fullfact.org/election-2019/ask-fullfact-trade-deals/
196,ask-fullfact-hung-parliament,What happens if there is a hung parliament?,"This article is part of our Ask Full Fact series on the 2019 general election, answering your questions about the election, from claims the main parties are making to what …",https://www.fullfact.org/media/_versions/parliament_homepage_article.png,2019-12-11,https://www.fullfact.org/election-2019/ask-fullfact-hung-parliament/
196,ask-fullfact-homelessness-claim,Sajid Javid said on 5 December that homelessness has halved under the Conservatives since 2008—is this true?,"This article is part of our Ask Full Fact series on the 2019 general election, answering your questions about the election, from claims the main parties are making to what …",https://www.fullfact.org/media/_versions/sanctions-for-homelessness_homepage_article.jpg,2019-12-11,https://www.fullfact.org/election-2019/ask-fullfact-homelessness-claim/
196,ask-fullfact-private-landlords-properties,Is it true that Labour will make private landlords sell their properties to their tenants?,"This article is part of our Ask Full Fact series on the 2019 general election, answering your questions about the election, from claims the main parties are making to what …",https://www.fullfact.org/media/_versions/houses_uk_homepage_article.jpg,2019-12-11,https://www.fullfact.org/election-2019/ask-fullfact-private-landlords-properties/
196,how-to-vote-facts,Election 2019: what you need to know about polling day,Polling day for the 2019 General Election is on Thursday 12th December. Here are some key things to know about how to vote.,https://www.fullfact.org/media/_versions/polling_station_homepage_article.jpg,2019-12-11,https://www.fullfact.org/election-2019/how-to-vote-facts/
196,conservative-roundup,Our key fact checks of the Conservative Party in the 2019 general election campaign,This article summarises our fact checks of claims made by the Conservative Party. Rounding up the work we’ve done over the campaign to help you get the facts you need.,https://www.fullfact.org/media/_versions/conservative-claim-roundup_homepage_article.jpg,2019-12-11,https://www.fullfact.org/election-2019/conservative-roundup/
