page_index,fact_check_id,fact_check_explanation_title,fact_check_explanation_summary,fact_check_image_url_thumbnail,fact_check_date,fact_check_page_url
304,how-much-will-uk-have-pay-eu-once-brexit-negotiated,How much will the UK have to pay the EU once Brexit is negotiated?,Experts and a number of media reports have suggested that the final bill to the EU once Brexit is negotiated could be anywhere between €20 and €60 billion or around …,https://www.fullfact.org/media/_versions/paying-to-the-eu_homepage_article.jpg,2017-01-20,https://www.fullfact.org/europe/how-much-will-uk-have-pay-eu-once-brexit-negotiated/
304,cost-cutting-corporation-tax,The cost of cutting corporation tax,"It could reduce the government’s income, but we haven’t seen estimates for the overall effect.",https://www.fullfact.org/media/_versions/bk502e_homepage_article.jpg,2017-01-20,https://www.fullfact.org/economy/cost-cutting-corporation-tax/
304,what-do-wealthiest-pay-tax,What do the wealthiest pay in tax?,Define wealthiest and we’ll get back to you.,https://www.fullfact.org/media/_versions/tax_image_homepage_article.jpg,2017-01-20,https://www.fullfact.org/economy/what-do-wealthiest-pay-tax/
304,how-much-can-councils-raise-pay-social-care,How much can councils raise to pay for social care?,"Councils are being allowed to increase council tax by 3% next year to pay for social care, but how does that impact different councils?",https://www.fullfact.org/media/_versions/social-care-precept-featured-image_homepage_article.jpg,2017-01-19,https://www.fullfact.org/health/how-much-can-councils-raise-pay-social-care/
304,pound-isnt-its-highest-level-two-years,The pound isn’t at its highest level in two years,"The pound saw a big one-day rise yesterday, but its value against the US dollar remains low compared to recent years.",https://www.fullfact.org/media/_versions/sterling-and-brexit_homepage_article.jpg,2017-01-18,https://www.fullfact.org/economy/pound-isnt-its-highest-level-two-years/
304,half-million-fewer-men-accepted-university-women,Half a million fewer men accepted to university than women,Between 2007 and 2016 half a million fewer men than women living in the UK have been accepted to UK universities.,https://www.fullfact.org/media/_versions/half-a-million-fewer-men-at-university_homepage_article.jpg,2017-01-18,https://www.fullfact.org/education/half-million-fewer-men-accepted-university-women/
304,do-two-thirds-welsh-exports-go-eu,Do two thirds of Welsh exports go to the EU?,The headline figure is correct for goods exports. The way Wales’ trade is calculated has changed significantly in recent months.,https://www.fullfact.org/media/,2017-01-18,https://www.fullfact.org/europe/do-two-thirds-welsh-exports-go-eu/
304,are-there-13-suicides-every-day,Are there 13 deaths by suicide every day?,It is correct that in 2015 there were around 13 deaths by suicide a day in England.,https://www.fullfact.org/media/_versions/suicides_homepage_article.jpg,2017-01-17,https://www.fullfact.org/health/are-there-13-suicides-every-day/
304,how-much-does-prime-minister-get-paid,How much does the Prime Minister get paid?,"How much the Prime Minister makes is a hot search topic at the moment. Theresa May's job comes with a salary of £150,402.",https://www.fullfact.org/media/_versions/downing-street-facebook_homepage_article.jpg,2017-01-17,https://www.fullfact.org/law/how-much-does-prime-minister-get-paid/
304,how-many-hospital-black-alerts-were-there-week,How many hospital black alerts were there this week?,"Media reports say that 23 hospital trusts in England have reached the highest level on the NHS’s system for saying whether they are under pressure, or are otherwise under serious …",https://www.fullfact.org/media/_versions/drxf3w-resized_homepage_article.jpg,2017-01-13,https://www.fullfact.org/health/how-many-hospital-black-alerts-were-there-week/
304,four-million-hospital-waiting-lists,Four million on hospital waiting lists,At least 3.7 million patient referrals in England were waiting to receive non-emergency treatment as of November 2016. It may be as high as 3.9 million.,https://www.fullfact.org/media/_versions/nhs-outpatients-facebook_homepage_article.jpg,2017-01-13,https://www.fullfact.org/health/four-million-hospital-waiting-lists/
304,number-doctors-and-nurses-nhs-england,The number of doctors and nurses in NHS England,"In September 2016 there were the equivalent of 9,000 more doctors working full-time for NHS hospitals and community health services in England than there were in September 2010.",https://www.fullfact.org/media/_versions/b5xfn6_nhsstaff_homepage_article.jpg,2017-01-13,https://www.fullfact.org/health/number-doctors-and-nurses-nhs-england/
